text	label
Katten ligger på mattan. Den sover gott.	A1
Barnet äter en smörgås och dricker mjölk.	A1
Solen skiner över huset. Vi går ut.	A1
Lisa cyklar till skolan varje morgon.	A1
Hunden springer snabbt över gården.	A1
Mamma läser en bok för sitt barn.	A1
Vi bakar bröd och dukar bordet.	A1
Pojken hittar sin mössa i hallen.	A1
Flickan ritar en blomma med röd penna.	A1
Det regnar ute men vi är torra inne.	A1
Jag går till affären och köper äpplen.	A1
Min vän kommer hem till mig efter skolan.	A1
Fågeln sitter i trädet och sjunger.	A1
Vi spelar kort vid köksbordet.	A1
Farfar berättar en rolig historia.	A1
Jag heter Anna och bor i Malmö.	A1
Du har en röd väska.	A1
Vi dricker vatten efter maten.	A1
Han sitter på en stol.	A1
Hon har två systrar.	A1
Boken ligger på bordet.	A1
Jag vill ha kaffe.	A1
De går till skolan.	A1
Det är kallt idag.	A1
Min katt är svart.	A1
Vi bor i ett litet hus.	A1
Hon köper mjölk i butiken.	A1
Jag sover på natten.	A1
Barnen äter glass.	A1
Han öppnar fönstret.	A1
Klockan är åtta och bussen kommer snart.	A2
Barnen leker i parken hela eftermiddagen.	A2
Hon tvättar händerna före maten.	A2
Vi ser en film och äter popcorn.	A2
Pappa lagar soppa i köket.	A2
Skorna står under stolen i hallen.	A2
Jag skriver mitt namn på pappret.	A2
Det lilla huset har en blå dörr.	A2
Vi går hem när det blir mörkt.	A2
Min syster sjunger en enkel sång.	A2
Barnet öppnar paketet och ler.	A2
De planterar blommor i trädgården.	A2
Katten hoppar upp på stolen.	A2
Vi äter frukost klockan sju.	A2
Läraren frågar och eleven svarar.	A2
Jag brukar handla mat på lördagar.	A2
Efter jobbet lagar hon middag hemma.	A2
Vi väntar på bussen vid stationen.	A2
Min bror spelar fotboll med sina vänner.	A2
Hon berättar om sin resa till Göteborg.	A2
Jag måste lämna tillbaka boken i morgon.	A2
De städar lägenheten innan gästerna kommer.	A2
Vi går ofta till biblioteket efter skolan.	A2
Han ringer sin mamma varje söndag.	A2
Det finns många träd bakom huset.	A2
Jag behöver köpa nya skor till vintern.	A2
Hon skriver ett kort brev till sin lärare.	A2
Vi äter lunch tillsammans i matsalen.	A2
Barnet frågar varför tåget är sent.	A2
Familjen åker till landet under helgen.	A2
Kommunen bygger en ny lekplats nära biblioteket.	B1
Skolan inför nya rutiner för att minska stressen bland eleverna.	B1
Företaget öppnar en butik i centrum nästa månad.	B1
Rapporten visar att många unga vill resa mer med tåg.	B1
Museet ordnar guidade visningar under hela sommaren.	B1
Vårdcentralen erbjuder fler tider för patienter med akuta besvär.	B1
Biblioteket startar en kurs för personer som vill lära sig svenska.	B1
Polisen uppmanar trafikanter att köra långsamt vid skolor.	B1
Regionen planerar att köpa in fler elbussar till landsbygden.	B1
Många hushåll försöker spara el när priserna stiger.	B1
Föreningen samlar in pengar till en ny idrottshall.	B1
Lärarna diskuterar hur undervisningen kan bli mer varierad.	B1
Restaurangen byter meny för att använda fler lokala råvaror.	B1
En undersökning visar att fler läser nyheter i mobilen.	B1
Staden vill göra torget tryggare på kvällarna.	B1
Många elever använder datorer när de gör sina läxor.	B1
Kommunen vill förbättra cykelvägarna mellan olika bostadsområden.	B1
Föräldrar kan anmäla sina barn till simskolan via webben.	B1
Läkaren förklarade varför patienten behövde vila några dagar.	B1
Biblioteket lånar ut språkböcker till nya invånare i kommunen.	B1
En ny undersökning visar att fler vill arbeta hemifrån ibland.	B1
Skolans personal diskuterar hur rasterna kan bli lugnare.	B1
Föreningen ordnar aktiviteter för ungdomar under höstlovet.	B1
Många resenärer tycker att biljettsystemet är svårt att förstå.	B1
Butiken erbjuder rabatt till kunder som handlar före fredag.	B1
Läraren gav tydliga instruktioner innan grupparbetet började.	B1
Flera familjer flyttar till området eftersom hyrorna är lägre.	B1
Kaféet söker personal som kan arbeta extra på helgerna.	B1
Eleverna fick läsa en artikel och svara på frågor.	B1
Kommunen informerar boende om arbetet med den nya vägen.	B1
Kunden kontaktade supporten när betalningen inte fungerade.	B2
Resenärer får längre väntetid under arbetet med järnvägen.	B2
Universitetet erbjuder öppna föreläsningar för allmänheten.	B2
Föräldrarna fick information om skolans nya schema.	B2
Kommunens budget påverkas av ökade kostnader för omsorg.	B2
Väderprognosen visar risk för hårda vindar längs kusten.	B2
Butiken återkallar en vara efter klagomål från kunder.	B2
Forskare undersöker hur barn använder digitala verktyg i skolan.	B2
Arbetsgivaren vill förbättra miljön på kontoret.	B2
Mötet avslutades med ett beslut om fortsatt planering.	B2
Kursen passar personer som redan har grundläggande kunskaper.	B2
Tjänsten gör det lättare att boka tid hos kommunen.	B2
Flera boende önskar bättre belysning vid busshållplatsen.	B2
Projektet ska utvärderas innan nästa etapp börjar.	B2
Eleverna får återkoppling efter varje större uppgift.	B2
Organisationen vill stärka samarbetet mellan skolor och lokala företag.	B2
Rapporten beskriver hur digitala tjänster påverkar äldre personers vardag.	B2
Förslaget innebär att fler invånare kan delta i planeringen.	B2
Arbetsgruppen jämförde olika lösningar innan den lämnade sin rekommendation.	B2
Kommunen behöver prioritera resurser när flera projekt konkurrerar om pengar.	B2
Utbildningen riktar sig till personer som vill utveckla sin yrkeskompetens.	B2
Företaget undersöker varför kunderna väljer att avsluta sina abonnemang.	B2
Analysen visar att resultatet påverkas av både ålder och utbildningsnivå.	B2
